Model,Accuracy,Precision,Recall,F1-Score
DecisionTreeClassifier {max_depth=5; min_samples_split=2} no_preparation,0.721,0.724,0.721,0.701
DecisionTreeClassifier {max_depth=8; min_samples_split=5} no_preparation,0.744,0.756,0.744,0.738
DecisionTreeClassifier {max_depth=None; min_samples_split=20} no_preparation,0.698,0.701,0.698,0.685
GaussianNB {var_smoothing=1e-9} no_preparation,0.395,0.417,0.395,0.343
GaussianNB {var_smoothing=1e-6} no_preparation,0.349,0.355,0.349,0.290
GaussianNB {var_smoothing=1e-1} no_preparation,0.442,0.515,0.442,0.367
DecisionTreeClassifier {max_depth=5; min_samples_split=2} normalization,0.605,0.608,0.605,0.592
DecisionTreeClassifier {max_depth=8; min_samples_split=5} normalization,0.651,0.662,0.651,0.654
DecisionTreeClassifier {max_depth=None; min_samples_split=20} normalization,0.558,0.572,0.558,0.544
GaussianNB {var_smoothing=1e-9} normalization,0.465,0.548,0.465,0.427
GaussianNB {var_smoothing=1e-6} normalization,0.372,0.447,0.372,0.321
GaussianNB {var_smoothing=1e-1} normalization,0.395,0.443,0.395,0.311
DecisionTreeClassifier {max_depth=5; min_samples_split=2} standardization,0.721,0.724,0.721,0.701
DecisionTreeClassifier {max_depth=8; min_samples_split=5} standardization,0.744,0.756,0.744,0.738
DecisionTreeClassifier {max_depth=None; min_samples_split=20} standardization,0.698,0.701,0.698,0.685
GaussianNB {var_smoothing=1e-9} standardization,0.395,0.417,0.395,0.343
GaussianNB {var_smoothing=1e-6} standardization,0.372,0.408,0.372,0.301
GaussianNB {var_smoothing=1e-1} standardization,0.395,0.406,0.395,0.320
